# from_timestamp_us, to_timestamp_us
37467601564, 37467701534
37467701534, 37467801490
37467801490, 37467901447
37467901447, 37468001334
37468001334, 37468101312
37468101312, 37468201280
37468201280, 37468301259
37468301259, 37468401244
37468401244, 37468501235
37468501235, 37468601228
37468601228, 37468701217
37468701217, 37468801202
37468801202, 37468901204
37468901204, 37469001158
37469001158, 37469101188
37469101188, 37469201190
37469201190, 37469301194
37469301194, 37469401196
37469401196, 37469501192
37469501192, 37469601178
37469601178, 37469701137
37469701137, 37469801117
37469801117, 37469901103
37469901103, 37470001014
37470001014, 37470101041
37470101041, 37470201007
37470201007, 37470301008
37470301008, 37470400999
37470400999, 37470501011
37470501011, 37470601021
37470601021, 37470701011
37470701011, 37470801042
37470801042, 37470901076
37470901076, 37471001029
37471001029, 37471101077
37471101077, 37471201104
37471201104, 37471301125
37471301125, 37471401152
37471401152, 37471501141
37471501141, 37471601140
37471601140, 37471701154
37471701154, 37471801164
37471801164, 37471901158
37471901158, 37472001114
37472001114, 37472101146
37472101146, 37472201148
37472201148, 37472301170
37472301170, 37472401195
37472401195, 37472501214
37472501214, 37472601225
37472601225, 37472701253
37472701253, 37472801270
37472801270, 37472901275
37472901275, 37473001209
37473001209, 37473101226
37473101226, 37473201210
37473201210, 37473301194
37473301194, 37473401190
37473401190, 37473501167
37473501167, 37473601154
37473601154, 37473701148
37473701148, 37473801135
37473801135, 37473901114
37473901114, 37474001034
37474001034, 37474101059
37474101059, 37474201065
37474201065, 37474301088
37474301088, 37474401121
37474401121, 37474501148
37474501148, 37474601156
37474601156, 37474701184
37474701184, 37474801192
37474801192, 37474901181
37474901181, 37475001114
37475001114, 37475101118
37475101118, 37475201087
37475201087, 37475301046
37475301046, 37475400996
37475400996, 37475500918
37475500918, 37475600856
37475600856, 37475700808
37475700808, 37475800769
37475800769, 37475900730
37475900730, 37476000643
37476000643, 37476100665
37476100665, 37476200657
37476200657, 37476300667
37476300667, 37476400666
37476400666, 37476500675
37476500675, 37476600698
37476600698, 37476700704
37476700704, 37476800725
37476800725, 37476900762
37476900762, 37477000720
37477000720, 37477100773
37477100773, 37477200802
37477200802, 37477300833
37477300833, 37477400858
37477400858, 37477500858
37477500858, 37477600873
37477600873, 37477700879
37477700879, 37477800868
37477800868, 37477900871
37477900871, 37478000783
37478000783, 37478100793
