# from_timestamp_us, to_timestamp_us
41819800194, 41819700189
41819900200, 41819800194
41820000149, 41819900200
41820100182, 41820000149
41820200186, 41820100182
41820300187, 41820200186
41820400196, 41820300187
41820500200, 41820400196
41820600206, 41820500200
41820700211, 41820600206
41820800220, 41820700211
41820900223, 41820800220
41821000171, 41820900223
41821100225, 41821000171
41821200200, 41821100225
41821300222, 41821200200
41821400225, 41821300222
41821500208, 41821400225
41821600216, 41821500208
41821700214, 41821600216
41821800224, 41821700214
41821900233, 41821800224
41822000183, 41821900233
41822100216, 41822000183
41822200221, 41822100216
41822300226, 41822200221
41822400232, 41822300226
41822500237, 41822400232
41822600244, 41822500237
41822700253, 41822600244
41822800262, 41822700253
41822900263, 41822800262
41823000213, 41822900263
41823100246, 41823000213
41823200267, 41823100246
41823300253, 41823200267
41823400259, 41823300253
41823500264, 41823400259
41823600272, 41823500264
41823700274, 41823600272
41823800278, 41823700274
41823900284, 41823800278
41824000231, 41823900284
41824100261, 41824000231
41824200276, 41824100261
41824300266, 41824200276
41824400273, 41824300266
41824500280, 41824400273
41824600278, 41824500280
41824700282, 41824600278
41824800287, 41824700282
41824900285, 41824800287
41825000224, 41824900285
41825100258, 41825000224
41825200254, 41825100258
41825300264, 41825200254
41825400275, 41825300264
41825500282, 41825400275
41825600294, 41825500282
41825700302, 41825600294
41825800305, 41825700302
41825900287, 41825800305
41826000242, 41825900287
41826100272, 41826000242
41826200275, 41826100272
41826300301, 41826200275
41826400280, 41826300301
41826500287, 41826400280
41826600286, 41826500287
41826700295, 41826600286
41826800304, 41826700295
41826900306, 41826800304
41827000251, 41826900306
41827100285, 41827000251
41827200308, 41827100285
41827300287, 41827200308
41827400294, 41827300287
41827500292, 41827400294
41827600299, 41827500292
41827700305, 41827600299
41827800304, 41827700305
41827900310, 41827800304
41828000253, 41827900310
41828100303, 41828000253
41828200286, 41828100303
41828300288, 41828200286
41828400291, 41828300288
41828500294, 41828400291
41828600298, 41828500294
41828700295, 41828600298
41828800299, 41828700295
41828900304, 41828800299
41829000252, 41828900304
41829100284, 41829000252
41829200294, 41829100284
41829300282, 41829200294
41829400286, 41829300282
41829500284, 41829400286
41829600286, 41829500284
41829700288, 41829600286
